ID,last,first,co,act,cosize,middle,city,state,latitude,longitude
185,Hoban,Thomas,,2,,F,St. Louis,MO,38.630276,-90.200309
186,Atkinson,J,Fowler Packing Co.,3,,A,Kansas city,MO,39.099792,-94.578559
187,Bishop,K,Bishop & Babcock Co.,3,400,D,Cleveland,OH,41.505546,-81.6915
191,Nulsen,F,Missouri Malleable Iron Co,3,1000,E,East St. Louis,IL,38.622934,-90.154935
207,Van Cleave,James,Buck's Stove and Range,10,700,Wallace,St. Louis,MO,38.630276,-90.200309
208,Kalbfleisch,Franklin,Franklin H. Kalbfleisch Co.,4,,H,New York,NY,40.713054,-74.007228
209,Troy,E,,4,,J,St. Louis,MO,38.630276,-90.200309
211,Vance,Wilson,"C.W. Post Press, Ltd.",4,,,New York,NY,40.713054,-74.007228
213,Jeffrey,Joseph,The Jeffrey Manufacturing Company,3,1000,A,Columbus,OH,39.962649,-82.996216
214,Carpenter,Charles,Herring-Hall-Marvin Safe Co.,3,2000,U,New York,NY,40.713054,-74.007228
215,McElroy,W,Hamilton-Brown Shoe Co.,5,,F,St. Louis,MO,38.630276,-90.200309
216,Vawter,William,Baker-Vawter Co.,5,200,A,Chicago,IL,41.883229,-87.632398
219,Earhart,G,,2,,W,Quincy,IL,39.93553,-91.388754
220,Brady,Daniel,Brady Brass Company,2,120,M,Jersey City,NJ,40.717495,-74.044111
221,Webster,William,,2,,M,Chicago,IL,41.883229,-87.632398
222,Murray,H,,2,,D,Pittsburgh,PA,40.442169,-79.994945
223,,,,2,,,Dayton,OH,39.760982,-84.192203
224,Sayword,William,,2,,H,Boston,MA,42.358894,-71.056742
225,Sleicher,William,West Side Foundry Co.,3,,N,Troy,NY,42.727684,-73.691059
226,McGinnis,John,,3,,,Wichita,KS,37.686024,-97.335571
227,O'Connell,Thomas,,3,,B,Chicago,IL,41.883229,-87.632398
228,Hines,Edward,"Edward Hines Lumber Company, American Lumber Company",3,,,Chicago,IL,41.883229,-87.632398
229,Rich,John,Red Wing Sewer Pipe Company,2,250,H,Red Wing,MN,44.566664,-92.534205
230,Job,Frederick,,4,,W,Chicago,IL,41.883229,-87.632398
231,Yegge,C,General Box Company,2,,Fred,Chicago,IL,41.883229,-87.632398
233,Trix,John,American Injector Co.,4,90,,Detroit,MI,42.332916,-83.047853
234,Craig,George,Port Arthur Rice Milling Company,3,,M,Port Arthur,TX,29.872307,-93.934199
240,Battelle,J,Columbus Iron & Steel Co.,9,400,G,Columbus,OH,39.962649,-82.996216
241,Drew,Walter,,4,,,New York,NY,40.713054,-74.007228
242,Lindenberg,Carl,MC Lilley & Co.,2,800,R,Columbus,OH,39.962649,-82.996216
243,Dumont,Henry,Trojan Car Coupler,2,,D,New York,NY,40.713054,-74.007228
244,Melish,William,Bromwell Brush and Wire Goods Co.,2,,B,Cincinnati,OH,39.104427,-84.513808
245,Townsend,C,Chaplin-Fulton Manufacturing Co.,3,50,W,Pittsburgh,PA,40.442169,-79.994945
246,Dewolf,Wallace,Kellogg Switchboard & Supply Co.,2,500,L,Chicago,IL,41.883229,-87.632398
249,Forbes,W,Forbes Lithograph and Manufacturing Co.,2,500,F,Boston,MA,42.358894,-71.056742
253,Barry,N,Barry Manufacturing Company,2,,,Muscatine,IA,41.420448,-91.044853
255,Frazier,William,W.S. Frazier Co.,2,,S,Aurora,IL,41.75527,-88.309507
256,Watkins,J,West Monroe Manufacturing Co.,2,,H,West Monroe,LA,32.520528,-92.146504
257,Glover,Charles,Corbin Screw Corporation,2,,,New Britain,CT,41.667528,-72.783437
258,Anthony,Howard,McRae & Roberts Co.,6,250,B,Detroit,MI,42.332916,-83.047853
260,Armstrong,William,William H. Armstrong Co.,3,,H,Indianapolis,IN,39.76845,-86.156212
262,Wuest,Robert,,7,,,Cincinnati,OH,39.104427,-84.513808
263,Gibson,John,,2,,I,Battle Creek,MI,42.31918,-85.182454
264,Lieber,Otto,The H. Lieber Company,2,200,R,Indianapolis,IN,39.76845,-86.156212
