2303	3211	1
2022	4576	1
217	1080	2
2536	4301	1
2536	4303	1
258	4080	1
258	4081	1
924	4836	1
258	4088	1
2712	4843	1
420	3836	1
2844	4152	1
897	2780	1
101	2055	1
3052	4836	2
2357	3618	1
2022	2161	1
81	4718	1
1596	4576	1
420	1573	1
217	2215	1
2159	4878	4
484	723	1
1294	2022	1
1294	2023	1
973	3338	1
3246	3978	1
3246	3970	1
3246	3975	1
1150	4836	1
3793	4080	1
611	2023	1
611	2022	2
536	2746	1
3851	4515	1
949	4576	2
389	2357	1
268	2055	1
275	2987	1
509	2023	1
509	2022	1
1937	3829	1
917	4147	2
565	2477	1
2538	4253	1
2538	4259	2
354	3836	1
881	3975	1
3235	4049	1
881	3977	1
881	3978	1
3136	4556	1
1015	3246	1
23	351	2
23	357	1
101	4049	1
1688	2268	1
1688	2261	1
101	3012	1
351	2005	2
1294	4857	1
449	2477	1
22	3822	1
22	3829	1
3338	4891	1
1817	3836	2
354	4827	1
2254	4209	1
183	2055	2
2254	4205	3
113	4717	1
917	4857	1
398	924	1
209	1616	1
209	1617	1
209	1619	2
897	2005	2
3508	4216	1
3508	4219	1
375	1080	1
101	2836	1
2780	4019	1
2572	3984	2
2780	4017	1
118	536	1
509	1640	1
4088	4400	1
3235	4777	1
1773	4190	1
1294	2844	1
3398	4562	2
354	2055	1
3618	4095	1
2011	4938	1
2011	4935	2
2261	2572	1
1619	4514	2
972	3084	1
2011	3052	1
1029	4901	1
2261	4937	1
168	3737	1
2261	4935	2
2261	4938	1
2215	4891	1
603	3560	1
573	4017	1
3624	4205	1
1029	2538	1
3136	4973	1
573	4019	1
209	4735	1
3235	3743	1
209	3508	1
