key1	key2	measure	connection type
4081	967	0.088	residence
4109	739	3	socialclub
4109	949	3	socialclub
4147	972	3	socialclub
4190	4191	0.000	residence
4205	4262	3	socialclub
4205	4272	3	socialclub
4205	4341	3	socialclub
4205	4514	3	socialclub
4205	4557	3	socialclub
4205	4603	3	socialclub
4205	4682	4	socialclub
4205	4705	4	socialclub
4205	4719	3	socialclub
4205	4878	3	socialclub
4205	560	3	socialclub
4205	652	4	socialclub
4205	687	4	socialclub
4205	723	5	socialclub
4205	739	3	socialclub
4205	893	3	socialclub
4205	939	6	socialclub
4205	972	3	socialclub
4205	973	5	socialclub
4209	4809	3	socialclub
4209	972	3	socialclub
4216	81	0.097	residence
4216	865	0.069	residence
4236	4259	3	socialclub
4236	4557	3	socialclub
4236	4562	3	socialclub
4236	4576	3	socialclub
4236	4682	3	socialclub
4236	4971	3	socialclub
4236	723	3	socialclub
4236	917	3	socialclub
4236	939	3	socialclub
4236	972	3	socialclub
4259	4557	3	socialclub
4259	4562	3	socialclub
4259	4682	3	socialclub
4259	4836	0.064	residence
4259	4971	3	socialclub
4259	603	0.061	residence
4259	637	0.008	residence
4259	723	3	socialclub
4259	917	3	socialclub
4259	939	3	socialclub
4259	972	3	socialclub
4262	4705	3	socialclub
4262	4719	3	socialclub
4262	4878	3	socialclub
4262	687	3	socialclub
4262	723	3	socialclub
4262	739	3	socialclub
4262	893	3	socialclub
4262	973	3	socialclub
4272	939	3	socialclub
4303	4698	0.027	residence
4303	881	0.058	residence
4341	4705	3	socialclub
4341	973	3	socialclub
4347	4878	0.074	residence
4350	4971	3	socialclub
4350	723	3	socialclub
4390	4455	3	socialclub
4390	4836	3	socialclub
4390	4935	3	socialclub
4390	4971	3	socialclub
4390	723	3	socialclub
4400	4562	0.056	residence
4407	4973	0.085	residence
4487	4534	0.082	residence
4487	949	0.085	residence
4514	723	5	socialclub
4557	4562	3	socialclub
4557	4682	3	socialclub
4557	4971	3	socialclub
4557	723	4	socialclub
4557	917	3	socialclub
4557	939	3	socialclub
4557	972	3	socialclub
4557	973	3	socialclub
4562	4682	3	socialclub
4562	4937	0.086	residence
4562	4971	3	socialclub
4562	723	3	socialclub
4562	917	3	socialclub
4562	939	3	socialclub
4562	972	3	socialclub
4603	939	3	socialclub
4608	760	0.057	residence
4682	4705	3	socialclub
4682	4719	3	socialclub
4682	4809	4	socialclub
4682	4971	3	socialclub
4682	652	4	socialclub
4682	723	6	socialclub
4682	917	3	socialclub
4682	939	5	socialclub
4682	972	4	social_and_residence
4682	973	4	social_and_residence
4698	881	0.051	residence
4705	4719	3	socialclub
4705	4878	3	socialclub
4705	560	3	socialclub
4705	652	3	socialclub
4705	687	3	socialclub
4705	723	3	socialclub
4705	739	3	socialclub
4705	893	3	socialclub
4705	939	3	socialclub
4705	973	4	socialclub
4717	739	3	socialclub
4719	4809	3	socialclub
4719	4878	4	socialclub
4719	527	3	socialclub
4719	687	3	socialclub
4719	723	4	socialclub
4719	739	4	socialclub
4719	893	3	socialclub
4719	973	3	socialclub
4777	611	0.051	residence
4777	648	0.048	residence
4809	723	4	socialclub
4809	939	3	socialclub
4809	972	3	socialclub
4814	4935	0.000	residence
4814	502	0.000	residence
4820	4821	0.000	residence
4836	4935	3	socialclub
4836	4971	3	socialclub
4836	603	0.020	residence
4836	637	0.065	residence
4836	723	3	socialclub
4843	723	3	socialclub
4878	687	3	socialclub
4878	723	3	socialclub
4878	739	4	socialclub
4878	893	3	socialclub
4878	973	3	socialclub
4891	955	0.021	residence
4922	586	0.022	residence
4935	4971	3	socialclub
4935	502	0.000	residence
4935	723	3	socialclub
4971	4973	3	socialclub
4971	4975	3	socialclub
4971	723	4	socialclub
4971	917	3	socialclub
4971	939	3	socialclub
4971	972	3	socialclub
4973	4975	3	socialclub
4973	723	3	socialclub
4975	723	3	socialclub
527	723	3	socialclub
560	973	3	socialclub
603	637	0.060	residence
611	648	0.003	residence
652	723	3	socialclub
652	939	4	socialclub
652	972	3	socialclub
652	973	4	socialclub
687	723	3	socialclub
687	739	3	socialclub
687	893	3	socialclub
687	939	3	socialclub
687	973	3	socialclub
723	739	3	socialclub
723	865	3	socialclub
723	893	3	socialclub
723	917	3	socialclub
723	939	4	socialclub
723	972	4	socialclub
723	973	4	socialclub
739	893	3	socialclub
739	897	3	socialclub
739	949	3	socialclub
739	973	3	socialclub
881	949	4	socialclub
893	973	3	socialclub
917	939	3	socialclub
917	972	3	socialclub
939	972	4	socialclub
939	973	4	socialclub
972	973	4	social_and_residence
